cylinders,displacement,hp,weight_lbs,acceleration,year,weight_kg,vehicle_age,origin_encoded,origin_europe,origin_japan,origin_usa,miles_per_gallon
8.0,304.0,193.0,4732.0,18.5,1970,2146.397344,56,2,False,False,True,9.0
4.0,97.0,88.0,2130.0,14.5,1971,966.1509599999999,55,1,False,True,False,27.0
4.0,140.0,90.0,2264.0,15.5,1971,1026.932288,55,2,False,False,True,28.0
4.0,113.0,95.0,2228.0,14.0,1971,1010.602976,55,1,False,True,False,25.0
4.0,98.0,92.5,2046.0,19.0,1971,928.049232,55,2,False,False,True,25.0
6.0,232.0,100.0,2634.0,13.0,1971,1194.761328,55,2,False,False,True,19.0
6.0,225.0,105.0,3439.0,15.5,1971,1559.902888,55,2,False,False,True,16.0
6.0,250.0,100.0,3329.0,15.5,1971,1510.007768,55,2,False,False,True,17.0
6.0,250.0,88.0,3302.0,15.5,1971,1497.760784,55,2,False,False,True,19.0
6.0,232.0,100.0,3288.0,15.5,1971,1491.410496,55,2,False,False,True,18.0
8.0,350.0,165.0,4209.0,12.0,1971,1909.1687279999999,55,2,False,False,True,14.0
8.0,400.0,175.0,4464.0,11.5,1971,2024.834688,55,2,False,False,True,14.0
8.0,351.0,153.0,4154.0,13.5,1971,1884.221168,55,2,False,False,True,14.0
8.0,318.0,150.0,4096.0,13.0,1971,1857.912832,55,2,False,False,True,14.0
8.0,383.0,180.0,4955.0,11.5,1971,2247.54836,55,2,False,False,True,12.0
8.0,400.0,170.0,4746.0,12.0,1971,2152.747632,55,2,False,False,True,13.0
8.0,400.0,175.0,5140.0,12.0,1971,2331.46288,55,2,False,False,True,13.0
6.0,258.0,110.0,2962.0,13.5,1971,1343.539504,55,2,False,False,True,18.0
4.0,140.0,72.0,2408.0,19.0,1971,1092.249536,55,2,False,False,True,22.0
6.0,250.0,100.0,3282.0,15.0,1971,1488.688944,55,2,False,False,True,19.0
6.0,250.0,88.0,3139.0,14.5,1971,1423.825288,55,2,False,False,True,18.0
4.0,122.0,86.0,2220.0,14.0,1971,1006.97424,55,2,False,False,True,23.0
4.0,116.0,90.0,2123.0,14.0,1971,962.975816,55,0,True,False,False,28.0
4.0,79.0,70.0,2074.0,19.5,1971,940.749808,55,0,True,False,False,30.0
4.0,88.0,76.0,2065.0,14.5,1971,936.66748,55,0,True,False,False,30.0
4.0,71.0,65.0,1773.0,19.0,1971,804.218616,55,1,False,True,False,31.0
4.0,72.0,69.0,1613.0,18.0,1971,731.643896,55,1,False,True,False,35.0
4.0,97.0,60.0,1834.0,19.0,1971,831.887728,55,0,True,False,False,27.0
4.0,91.0,70.0,1955.0,20.5,1971,886.7723599999999,55,2,False,False,True,26.0
4.0,113.0,95.0,2278.0,15.5,1972,1033.282576,54,1,False,True,False,24.0
4.0,97.5,80.0,2126.0,17.0,1972,964.336592,54,2,False,False,True,25.0
4.0,97.0,54.0,2254.0,23.5,1972,1022.3963679999999,54,0,True,False,False,23.0
4.0,140.0,90.0,2408.0,19.5,1972,1092.249536,54,2,False,False,True,20.0
4.0,122.0,86.0,2226.0,16.5,1972,1009.695792,54,2,False,False,True,21.0
8.0,350.0,165.0,4274.0,12.0,1972,1938.652208,54,2,False,False,True,13.0
8.0,400.0,175.0,4385.0,12.0,1972,1989.00092,54,2,False,False,True,14.0
8.0,318.0,150.0,4135.0,13.5,1972,1875.60292,54,2,False,False,True,15.0
8.0,351.0,153.0,4129.0,13.0,1972,1872.881368,54,2,False,False,True,14.0
8.0,304.0,150.0,3672.0,11.5,1972,1665.589824,54,2,False,False,True,17.0
8.0,429.0,208.0,4633.0,11.0,1972,2101.491736,54,2,False,False,True,11.0
8.0,350.0,155.0,4502.0,13.5,1972,2042.071184,54,2,False,False,True,13.0
8.0,350.0,160.0,4456.0,13.5,1972,2021.205952,54,2,False,False,True,12.0
8.0,400.0,190.0,4422.0,12.5,1972,2005.7838239999999,54,2,False,False,True,13.0
3.0,70.0,97.0,2330.0,13.5,1972,1056.86936,54,1,False,True,False,19.0
8.0,304.0,150.0,3892.0,12.5,1972,1765.380064,54,2,False,False,True,15.0
8.0,307.0,130.0,4098.0,14.0,1972,1858.820016,54,2,False,False,True,13.0
8.0,302.0,140.0,4294.0,16.0,1972,1947.724048,54,2,False,False,True,13.0
8.0,318.0,150.0,4077.0,14.0,1972,1849.294584,54,2,False,False,True,14.0
4.0,121.0,112.0,2933.0,14.5,1972,1330.385336,54,0,True,False,False,18.0
4.0,121.0,76.0,2511.0,18.0,1972,1138.969512,54,0,True,False,False,22.0
4.0,120.0,87.0,2979.0,19.5,1972,1351.250568,54,0,True,False,False,21.0
4.0,96.0,69.0,2189.0,18.0,1972,992.912888,54,0,True,False,False,26.0
4.0,122.0,86.0,2395.0,16.0,1972,1086.35284,54,2,False,False,True,22.0
4.0,97.0,92.0,2288.0,17.0,1972,1037.818496,54,1,False,True,False,28.0
4.0,120.0,97.0,2506.0,14.5,1972,1136.701552,54,1,False,True,False,23.0
4.0,98.0,80.0,2164.0,15.0,1972,981.573088,54,2,False,False,True,28.0
4.0,97.0,88.0,2100.0,16.5,1972,952.5432,54,1,False,True,False,27.0
8.0,350.0,175.0,4100.0,13.0,1973,1859.7272,53,2,False,False,True,13.0
8.0,304.0,150.0,3672.0,11.5,1973,1665.589824,53,2,False,False,True,14.0
8.0,350.0,145.0,3988.0,13.0,1973,1808.924896,53,2,False,False,True,13.0
8.0,302.0,137.0,4042.0,14.5,1973,1833.418864,53,2,False,False,True,14.0
8.0,318.0,150.0,3777.0,12.5,1973,1713.216984,53,2,False,False,True,15.0
8.0,429.0,198.0,4952.0,11.5,1973,2246.187584,53,2,False,False,True,12.0
8.0,400.0,150.0,4464.0,12.0,1973,2024.834688,53,2,False,False,True,13.0
8.0,351.0,158.0,4363.0,13.0,1973,1979.021896,53,2,False,False,True,13.0
8.0,318.0,150.0,4237.0,14.5,1973,1921.869304,53,2,False,False,True,14.0
8.0,440.0,215.0,4735.0,11.0,1973,2147.75812,53,2,False,False,True,13.0
8.0,455.0,225.0,4951.0,11.0,1973,2245.733992,53,2,False,False,True,12.0
8.0,360.0,175.0,3821.0,11.0,1973,1733.1750319999999,53,2,False,False,True,13.0
6.0,225.0,105.0,3121.0,16.5,1973,1415.660632,53,2,False,False,True,18.0
6.0,250.0,100.0,3278.0,18.0,1973,1486.874576,53,2,False,False,True,16.0
6.0,232.0,100.0,2945.0,16.0,1973,1335.82844,53,2,False,False,True,18.0
6.0,250.0,88.0,3021.0,16.5,1973,1370.301432,53,2,False,False,True,18.0
6.0,198.0,95.0,2904.0,16.0,1973,1317.231168,53,2,False,False,True,23.0
4.0,97.0,46.0,1950.0,21.0,1973,884.5044,53,0,True,False,False,26.0
8.0,400.0,150.0,4997.0,14.0,1973,2266.599224,53,2,False,False,True,11.0
8.0,400.0,167.0,4906.0,12.5,1973,2225.322352,53,2,False,False,True,12.0
8.0,360.0,170.0,4654.0,13.0,1973,2111.017168,53,2,False,False,True,13.0
8.0,350.0,180.0,4499.0,12.5,1973,2040.710408,53,2,False,False,True,12.0
6.0,232.0,100.0,2789.0,15.0,1973,1265.068088,53,2,False,False,True,18.0
4.0,97.0,88.0,2279.0,19.0,1973,1033.736168,53,1,False,True,False,20.0
4.0,140.0,72.0,2401.0,19.5,1973,1089.074392,53,2,False,False,True,21.0
4.0,108.0,94.0,2379.0,16.5,1973,1079.095368,53,1,False,True,False,22.0
3.0,70.0,90.0,2124.0,13.5,1973,963.429408,53,1,False,True,False,18.0
4.0,122.0,85.0,2310.0,18.5,1973,1047.79752,53,2,False,False,True,19.0
6.0,155.0,107.0,2472.0,14.0,1973,1121.279424,53,2,False,False,True,21.0
4.0,98.0,90.0,2265.0,15.5,1973,1027.38588,53,0,True,False,False,26.0
8.0,350.0,145.0,4082.0,13.0,1973,1851.562544,53,2,False,False,True,15.0
8.0,400.0,230.0,4278.0,9.5,1973,1940.466576,53,2,False,False,True,16.0
4.0,68.0,49.0,1867.0,19.5,1973,846.856264,53,0,True,False,False,29.0
4.0,116.0,75.0,2158.0,15.5,1973,978.851536,53,0,True,False,False,24.0
4.0,114.0,91.0,2582.0,14.0,1973,1171.174544,53,0,True,False,False,20.0
4.0,121.0,112.0,2868.0,15.5,1973,1300.901856,53,0,True,False,False,19.0
8.0,318.0,150.0,3399.0,11.0,1973,1541.759208,53,2,False,False,True,15.0
4.0,121.0,110.0,2660.0,14.0,1973,1206.55472,53,0,True,False,False,24.0
6.0,156.0,122.0,2807.0,13.5,1973,1273.232744,53,1,False,True,False,20.0
8.0,350.0,180.0,3664.0,11.0,1973,1661.961088,53,2,False,False,True,11.0
6.0,198.0,95.0,3102.0,16.5,1974,1407.042384,52,2,False,False,True,20.0
6.0,200.0,92.5,2875.0,17.0,1974,1304.077,52,2,False,False,True,21.0
6.0,232.0,92.5,2901.0,16.0,1974,1315.870392,52,2,False,False,True,19.0
6.0,250.0,100.0,3336.0,17.0,1974,1513.182912,52,2,False,False,True,15.0
4.0,79.0,67.0,1950.0,19.0,1974,884.5044,52,1,False,True,False,31.0
4.0,122.0,80.0,2451.0,16.5,1974,1111.753992,52,2,False,False,True,26.0
4.0,71.0,92.5,1836.0,15.5,1974,832.794912,52,1,False,True,False,32.0
4.0,140.0,75.0,2542.0,17.0,1974,1153.030864,52,2,False,False,True,25.0
6.0,250.0,100.0,3781.0,17.0,1974,1715.031352,52,2,False,False,True,16.0
6.0,258.0,110.0,3632.0,18.0,1974,1647.446144,52,2,False,False,True,16.0
6.0,225.0,105.0,3613.0,16.5,1974,1638.827896,52,2,False,False,True,18.0
8.0,302.0,92.5,4141.0,14.0,1974,1878.324472,52,2,False,False,True,16.0
8.0,350.0,150.0,4699.0,14.5,1974,2131.428808,52,2,False,False,True,13.0
8.0,318.0,150.0,4457.0,13.5,1974,2021.6595439999999,52,2,False,False,True,14.0
8.0,302.0,140.0,4638.0,16.0,1974,2103.759696,52,2,False,False,True,14.0
8.0,304.0,150.0,4257.0,15.5,1974,1930.941144,52,2,False,False,True,14.0
4.0,98.0,83.0,2219.0,16.5,1974,1006.5206479999999,52,0,True,False,False,29.0
4.0,79.0,67.0,1963.0,15.5,1974,890.4010959999999,52,0,True,False,False,26.0
4.0,97.0,78.0,2300.0,14.5,1974,1043.2616,52,0,True,False,False,26.0
4.0,76.0,52.0,1649.0,16.5,1974,747.973208,52,1,False,True,False,31.0
4.0,83.0,61.0,2003.0,19.0,1974,908.544776,52,1,False,True,False,32.0
4.0,90.0,75.0,2125.0,14.5,1974,963.883,52,2,False,False,True,28.0
4.0,90.0,75.0,2108.0,15.5,1974,956.171936,52,0,True,False,False,24.0
4.0,116.0,75.0,2246.0,14.0,1974,1018.7676319999999,52,0,True,False,False,26.0
4.0,120.0,97.0,2489.0,15.0,1974,1128.990488,52,1,False,True,False,24.0
4.0,108.0,93.0,2391.0,15.5,1974,1084.538472,52,1,False,True,False,26.0
4.0,79.0,67.0,2000.0,16.0,1974,907.184,52,0,True,False,False,31.0
6.0,225.0,95.0,3264.0,16.0,1975,1480.524288,51,2,False,False,True,19.0
6.0,250.0,105.0,3459.0,16.0,1975,1568.974728,51,2,False,False,True,18.0
6.0,250.0,72.0,3432.0,21.0,1975,1556.727744,51,2,False,False,True,15.0
6.0,250.0,72.0,3158.0,19.5,1975,1432.443536,51,2,False,False,True,15.0
8.0,400.0,170.0,4668.0,11.5,1975,2117.367456,51,2,False,False,True,16.0
8.0,350.0,145.0,4440.0,14.0,1975,2013.94848,51,2,False,False,True,15.0
8.0,318.0,150.0,4498.0,14.5,1975,2040.256816,51,2,False,False,True,16.0
8.0,351.0,148.0,4657.0,13.5,1975,2112.377944,51,2,False,False,True,14.0
6.0,231.0,110.0,3907.0,21.0,1975,1772.1839439999999,51,2,False,False,True,17.0
6.0,250.0,105.0,3897.0,18.5,1975,1767.648024,51,2,False,False,True,16.0
6.0,258.0,110.0,3730.0,19.0,1975,1691.89816,51,2,False,False,True,15.0
6.0,225.0,95.0,3785.0,19.0,1975,1716.84572,51,2,False,False,True,18.0
6.0,231.0,110.0,3039.0,15.0,1975,1378.466088,51,2,False,False,True,21.0
8.0,262.0,110.0,3221.0,13.5,1975,1461.019832,51,2,False,False,True,20.0
8.0,302.0,129.0,3169.0,12.0,1975,1437.4330479999999,51,2,False,False,True,13.0
4.0,97.0,75.0,2171.0,16.0,1975,984.748232,51,1,False,True,False,29.0
4.0,140.0,83.0,2639.0,17.0,1975,1197.029288,51,2,False,False,True,23.0
6.0,232.0,100.0,2914.0,16.0,1975,1321.767088,51,2,False,False,True,20.0
4.0,140.0,78.0,2592.0,18.5,1975,1175.710464,51,2,False,False,True,23.0
4.0,134.0,96.0,2702.0,13.5,1975,1225.605584,51,1,False,True,False,24.0
4.0,90.0,71.0,2223.0,16.5,1975,1008.335016,51,0,True,False,False,25.0
4.0,119.0,97.0,2545.0,17.0,1975,1154.39164,51,1,False,True,False,24.0
6.0,171.0,97.0,2984.0,14.5,1975,1353.518528,51,2,False,False,True,18.0
4.0,90.0,70.0,1937.0,14.0,1975,878.607704,51,0,True,False,False,29.0
6.0,232.0,90.0,3211.0,17.0,1975,1456.483912,51,2,False,False,True,19.0
4.0,115.0,95.0,2694.0,15.0,1975,1221.976848,51,0,True,False,False,23.0
4.0,120.0,88.0,2957.0,17.0,1975,1341.271544,51,0,True,False,False,23.0
4.0,121.0,98.0,2945.0,14.5,1975,1335.82844,51,0,True,False,False,22.0
4.0,121.0,115.0,2671.0,13.5,1975,1211.544232,51,0,True,False,False,25.0
4.0,91.0,53.0,1795.0,17.5,1975,814.19764,51,1,False,True,False,33.0
4.0,107.0,86.0,2464.0,15.5,1976,1117.650688,50,0,True,False,False,28.0
4.0,116.0,81.0,2220.0,16.9,1976,1006.97424,50,0,True,False,False,25.0
4.0,140.0,92.0,2572.0,14.9,1976,1166.638624,50,2,False,False,True,25.0
4.0,98.0,79.0,2255.0,17.7,1976,1022.84996,50,2,False,False,True,26.0
4.0,101.0,83.0,2202.0,15.3,1976,998.809584,50,0,True,False,False,27.0
8.0,305.0,140.0,4215.0,13.0,1976,1911.89028,50,2,False,False,True,17.5
8.0,318.0,150.0,4190.0,13.0,1976,1900.5504799999999,50,2,False,False,True,16.0
8.0,304.0,120.0,3962.0,13.9,1976,1797.131504,50,2,False,False,True,15.5
8.0,351.0,152.0,4215.0,12.8,1976,1911.89028,50,2,False,False,True,14.5
6.0,225.0,100.0,3233.0,15.4,1976,1466.462936,50,2,False,False,True,22.0
6.0,250.0,105.0,3353.0,14.5,1976,1520.893976,50,2,False,False,True,22.0
6.0,200.0,81.0,3012.0,17.6,1976,1366.219104,50,2,False,False,True,24.0
6.0,232.0,90.0,3085.0,17.6,1976,1399.33132,50,2,False,False,True,22.5
4.0,85.0,52.0,2035.0,22.2,1976,923.05972,50,2,False,False,True,29.0
4.0,98.0,60.0,2164.0,22.1,1976,981.573088,50,2,False,False,True,24.5
4.0,90.0,70.0,1937.0,14.2,1976,878.607704,50,0,True,False,False,29.0
4.0,91.0,53.0,1795.0,17.4,1976,814.19764,50,1,False,True,False,33.0
6.0,225.0,100.0,3651.0,17.7,1976,1656.064392,50,2,False,False,True,20.0
6.0,250.0,78.0,3574.0,21.0,1976,1621.137808,50,2,False,False,True,18.0
6.0,250.0,110.0,3645.0,16.2,1976,1653.34284,50,2,False,False,True,18.5
6.0,258.0,95.0,3193.0,17.8,1976,1448.319256,50,2,False,False,True,17.5
4.0,97.0,71.0,1825.0,12.2,1976,827.8054,50,0,True,False,False,29.5
4.0,85.0,70.0,1990.0,17.0,1976,902.6480799999999,50,1,False,True,False,32.0
4.0,97.0,75.0,2155.0,16.4,1976,977.49076,50,1,False,True,False,28.0
4.0,140.0,72.0,2565.0,13.6,1976,1163.46348,50,2,False,False,True,26.5
4.0,130.0,102.0,3150.0,15.7,1976,1428.8147999999999,50,0,True,False,False,20.0
8.0,318.0,150.0,3940.0,13.2,1976,1787.15248,50,2,False,False,True,13.0
4.0,120.0,88.0,3270.0,21.9,1976,1483.24584,50,0,True,False,False,19.0
6.0,156.0,108.0,2930.0,15.5,1976,1329.02456,50,1,False,True,False,19.0
6.0,168.0,120.0,3820.0,16.7,1976,1732.72144,50,0,True,False,False,16.5
8.0,350.0,180.0,4380.0,12.1,1976,1986.73296,50,2,False,False,True,16.5
8.0,350.0,145.0,4055.0,12.0,1976,1839.31556,50,2,False,False,True,13.0
8.0,302.0,130.0,3870.0,15.0,1976,1755.40104,50,2,False,False,True,13.0
8.0,318.0,150.0,3755.0,14.0,1976,1703.23796,50,2,False,False,True,13.0
4.0,98.0,68.0,2045.0,18.5,1977,927.59564,49,1,False,True,False,31.5
4.0,111.0,80.0,2155.0,14.8,1977,977.49076,49,2,False,False,True,30.0
4.0,79.0,58.0,1825.0,18.6,1977,827.8054,49,0,True,False,False,36.0
4.0,122.0,96.0,2300.0,15.5,1977,1043.2616,49,2,False,False,True,25.5
4.0,85.0,70.0,1945.0,16.8,1977,882.23644,49,1,False,True,False,33.5
8.0,305.0,145.0,3880.0,12.5,1977,1759.93696,49,2,False,False,True,17.5
8.0,260.0,110.0,4060.0,19.0,1977,1841.58352,49,2,False,False,True,17.0
8.0,318.0,145.0,4140.0,13.7,1977,1877.87088,49,2,False,False,True,15.5
8.0,302.0,130.0,4295.0,14.9,1977,1948.1776399999999,49,2,False,False,True,15.0
6.0,250.0,110.0,3520.0,16.4,1977,1596.64384,49,2,False,False,True,17.5
6.0,231.0,105.0,3425.0,16.9,1977,1553.5526,49,2,False,False,True,20.5
6.0,225.0,100.0,3630.0,17.7,1977,1646.53896,49,2,False,False,True,19.0
6.0,250.0,98.0,3525.0,19.0,1977,1598.9118,49,2,False,False,True,18.5
8.0,400.0,180.0,4220.0,11.1,1977,1914.15824,49,2,False,False,True,16.0
8.0,350.0,170.0,4165.0,11.4,1977,1889.21068,49,2,False,False,True,15.5
8.0,400.0,190.0,4325.0,12.2,1977,1961.7854,49,2,False,False,True,15.5
8.0,351.0,149.0,4335.0,14.5,1977,1966.32132,49,2,False,False,True,16.0
4.0,97.0,78.0,1940.0,14.5,1977,879.96848,49,0,True,False,False,29.0
4.0,151.0,88.0,2740.0,16.0,1977,1242.84208,49,2,False,False,True,24.5
4.0,97.0,75.0,2265.0,18.2,1977,1027.38588,49,1,False,True,False,26.0
4.0,140.0,89.0,2755.0,15.8,1977,1249.64596,49,2,False,False,True,25.5
4.0,98.0,63.0,2051.0,17.0,1977,930.317192,49,2,False,False,True,30.5
4.0,98.0,83.0,2075.0,15.9,1977,941.2034,49,2,False,False,True,33.5
4.0,97.0,67.0,1985.0,16.4,1977,900.38012,49,1,False,True,False,30.0
4.0,97.0,78.0,2190.0,14.1,1977,993.36648,49,0,True,False,False,30.5
6.0,146.0,97.0,2815.0,14.5,1977,1276.86148,49,1,False,True,False,22.0
4.0,121.0,110.0,2600.0,12.8,1977,1179.3392,49,0,True,False,False,21.5
3.0,80.0,110.0,2720.0,13.5,1977,1233.77024,49,1,False,True,False,21.5
4.0,90.0,48.0,1985.0,21.5,1978,900.38012,48,0,True,False,False,43.1
4.0,98.0,66.0,1800.0,14.4,1978,816.4656,48,2,False,False,True,36.1
4.0,78.0,52.0,1985.0,19.4,1978,900.38012,48,1,False,True,False,32.8
4.0,85.0,70.0,2070.0,18.6,1978,938.93544,48,1,False,True,False,39.4
4.0,91.0,60.0,1800.0,16.4,1978,816.4656,48,1,False,True,False,36.1
8.0,260.0,110.0,3365.0,15.5,1978,1526.33708,48,2,False,False,True,19.9
8.0,318.0,140.0,3735.0,13.2,1978,1694.16612,48,2,False,False,True,19.4
8.0,302.0,139.0,3570.0,12.8,1978,1619.32344,48,2,False,False,True,20.2
6.0,231.0,105.0,3535.0,19.2,1978,1603.44772,48,2,False,False,True,19.2
6.0,200.0,95.0,3155.0,18.2,1978,1431.08276,48,2,False,False,True,20.5
6.0,200.0,85.0,2965.0,15.8,1978,1344.90028,48,2,False,False,True,20.2
4.0,140.0,88.0,2720.0,15.4,1978,1233.77024,48,2,False,False,True,25.1
6.0,225.0,100.0,3430.0,17.2,1978,1555.82056,48,2,False,False,True,20.5
6.0,232.0,90.0,3210.0,17.2,1978,1456.03032,48,2,False,False,True,19.4
6.0,231.0,105.0,3380.0,15.8,1978,1533.14096,48,2,False,False,True,20.6
6.0,200.0,85.0,3070.0,16.7,1978,1392.52744,48,2,False,False,True,20.8
6.0,225.0,110.0,3620.0,18.7,1978,1642.00304,48,2,False,False,True,18.6
6.0,258.0,120.0,3410.0,15.1,1978,1546.74872,48,2,False,False,True,18.1
8.0,305.0,145.0,3425.0,13.2,1978,1553.5526,48,2,False,False,True,19.2
6.0,231.0,165.0,3445.0,13.4,1978,1562.62444,48,2,False,False,True,17.7
8.0,302.0,139.0,3205.0,11.2,1978,1453.76236,48,2,False,False,True,18.1
8.0,146.0,140.0,4080.0,13.7,1978,1850.65536,48,2,False,False,True,17.5
4.0,98.0,68.0,2155.0,16.5,1978,977.49076,48,2,False,False,True,30.0
4.0,134.0,95.0,2560.0,14.2,1978,1161.19552,48,1,False,True,False,27.5
4.0,119.0,97.0,2300.0,14.7,1978,1043.2616,48,1,False,True,False,27.2
4.0,105.0,75.0,2230.0,14.5,1978,1011.51016,48,2,False,False,True,30.9
4.0,134.0,95.0,2515.0,14.8,1978,1140.78388,48,1,False,True,False,21.1
4.0,146.0,105.0,2745.0,16.7,1978,1245.11004,48,2,False,False,True,23.2
4.0,151.0,85.0,2855.0,17.6,1978,1295.00516,48,2,False,False,True,23.8
4.0,119.0,97.0,2405.0,14.9,1978,1090.88876,48,1,False,True,False,23.9
5.0,131.0,103.0,2830.0,15.9,1978,1283.66536,48,0,True,False,False,20.3
6.0,163.0,125.0,3140.0,13.6,1978,1424.27888,48,0,True,False,False,17.0
4.0,121.0,115.0,2795.0,15.7,1978,1267.78964,48,0,True,False,False,21.6
6.0,163.0,133.0,3410.0,15.8,1978,1546.74872,48,0,True,False,False,16.2
4.0,89.0,71.0,1990.0,14.9,1978,902.6480799999999,48,0,True,False,False,31.5
4.0,98.0,68.0,2135.0,16.6,1978,968.41892,48,1,False,True,False,29.5
6.0,231.0,115.0,3245.0,15.4,1979,1471.90604,47,2,False,False,True,21.5
6.0,200.0,85.0,2990.0,18.2,1979,1356.24008,47,2,False,False,True,19.8
4.0,146.0,88.0,2890.0,17.3,1979,1310.88088,47,2,False,False,True,22.3
6.0,232.0,90.0,3265.0,18.2,1979,1480.97788,47,2,False,False,True,20.2
6.0,225.0,92.5,3360.0,16.6,1979,1524.0691199999999,47,2,False,False,True,20.6
8.0,305.0,130.0,3840.0,15.4,1979,1741.7932799999999,47,2,False,False,True,17.0
8.0,302.0,129.0,2797.5,13.4,1979,1268.92362,47,2,False,False,True,17.6
8.0,351.0,138.0,3955.0,13.2,1979,1793.95636,47,2,False,False,True,16.5
8.0,318.0,135.0,3830.0,15.2,1979,1737.25736,47,2,False,False,True,18.2
8.0,350.0,155.0,4360.0,14.9,1979,1977.66112,47,2,False,False,True,16.9
8.0,351.0,142.0,4054.0,14.3,1979,1838.861968,47,2,False,False,True,15.5
8.0,267.0,125.0,3605.0,15.0,1979,1635.19916,47,2,False,False,True,19.2
8.0,360.0,150.0,3940.0,13.0,1979,1787.15248,47,2,False,False,True,18.5
4.0,89.0,71.0,1925.0,14.0,1979,873.1646,47,0,True,False,False,31.9
4.0,86.0,65.0,1975.0,15.2,1979,895.8442,47,1,False,True,False,34.1
4.0,98.0,80.0,1915.0,14.4,1979,868.62868,47,2,False,False,True,35.7
4.0,121.0,80.0,2670.0,15.0,1979,1211.09064,47,2,False,False,True,27.4
5.0,183.0,77.0,3530.0,20.1,1979,1601.17976,47,0,True,False,False,25.4
8.0,350.0,125.0,3900.0,17.4,1979,1769.0088,47,2,False,False,True,23.0
4.0,141.0,71.0,3190.0,24.8,1979,1446.95848,47,0,True,False,False,27.2
8.0,260.0,90.0,3420.0,22.2,1979,1551.28464,47,2,False,False,True,23.9
4.0,105.0,70.0,2200.0,13.2,1979,997.9024,47,2,False,False,True,34.2
4.0,105.0,70.0,2150.0,14.9,1979,975.2228,47,2,False,False,True,34.5
4.0,85.0,65.0,2020.0,19.2,1979,916.25584,47,1,False,True,False,31.8
4.0,91.0,69.0,2130.0,14.7,1979,966.1509599999999,47,0,True,False,False,37.3
4.0,151.0,90.0,2670.0,16.0,1979,1211.09064,47,2,False,False,True,28.4
6.0,173.0,115.0,2595.0,11.3,1979,1177.07124,47,2,False,False,True,28.8
6.0,173.0,115.0,2700.0,12.9,1979,1224.6984,47,2,False,False,True,26.8
4.0,151.0,90.0,2556.0,13.2,1979,1159.381152,47,2,False,False,True,33.5
4.0,98.0,76.0,2144.0,14.7,1980,972.501248,46,0,True,False,False,41.5
4.0,89.0,60.0,1968.0,18.8,1980,892.669056,46,1,False,True,False,38.1
4.0,98.0,70.0,2120.0,15.5,1980,961.61504,46,2,False,False,True,32.1
4.0,86.0,65.0,2019.0,16.4,1980,915.802248,46,1,False,True,False,37.2
4.0,151.0,90.0,2678.0,16.5,1980,1214.719376,46,2,False,False,True,28.0
