sl_no,gender,hsc_p,hsc_s,degree_p,degree_t,etest_p,specialisation,mba_p,salary
63,0,0.2852570940900364,2,0.3257142857142859,2,0.1875,0,59.69,0.05405405405405406
65,1,0.47301045444847456,1,0.5428571428571429,0,0.22916666666666663,0,58.78,0.05405405405405406
67,1,0.4943460635801153,2,0.28571428571428575,0,0.39416666666666667,1,58.46,0.10135135135135136
68,1,0.5903563046724984,1,0.31428571428571433,0,0.38979166666666654,0,60.99,0.10135135135135136
70,1,0.47301045444847456,2,0.28571428571428575,2,0.41666666666666663,0,68.07,0.10135135135135136
71,1,0.21698314486878606,2,0.17142857142857143,2,0.8125,0,65.45,0.21621621621621623
72,1,0.41519095370172837,1,0.4285714285714286,0,0.9375,0,66.94,0.05405405405405406
73,1,0.3449967996586303,2,0.6285714285714286,0,0.9479166666666666,0,68.53,0.05405405405405406
74,1,0.7040751013441433,1,0.4491428571428572,0,0.75,0,59.75,0.024324324324324326
75,1,0.29805845956902066,1,0.4057142857142858,0,0.7139583333333333,0,67.2,0.1837837837837838
77,0,0.41753787070620885,0,0.4551428571428574,0,0.22916666666666663,0,64.27,0.04054054054054054
78,1,0.6223597183699595,2,0.2571428571428572,2,0.3958333333333333,0,57.65,0.30168918918918924
79,1,0.8549178579048433,2,0.24285714285714288,2,0.7508333333333335,0,59.42,0.0945945945945946
81,0,0.23831875400042676,1,0.37142857142857144,0,0.35416666666666663,1,62.35,0.05405405405405406
82,1,0.25965436313206747,2,0.31428571428571433,0,0.75,0,70.2,0.13513513513513514
84,1,0.6010241092383188,2,0.34285714285714286,2,0.7083333333333333,0,66.69,0.13513513513513514
85,1,0.25965436313206747,2,0.4,2,0.10416666666666669,0,62.0,0.13513513513513514
86,0,0.8320887561339876,1,0.6057142857142859,0,0.5987499999999999,0,76.18,0.2702702702702703
87,1,0.25965436313206747,1,0.2285714285714286,0,0.35416666666666663,0,57.03,0.02702702702702703
89,0,0.23831875400042676,1,0.48571428571428577,0,0.16666666666666669,1,64.36,0.013513513513513514
90,0,0.515681672711756,2,0.37142857142857144,2,0.25,1,62.36,0.013513513513513514
91,0,0.8357158096863666,1,0.7428571428571429,0,0.875,0,68.03,0.13513513513513514
93,0,0.38766801792191175,2,0.28571428571428575,0,0.4583333333333333,0,59.47,0.04054054054054054
95,1,0.23831875400042676,1,0.2285714285714286,0,0.08083333333333342,0,54.97,0.08108108108108109
96,1,0.579688500106678,1,0.2571428571428572,0,0.947083333333333,0,62.16,0.2972972972972973
97,0,0.4090036270535524,2,0.5714285714285715,0,0.33333333333333337,0,64.44,0.13513513513513514
99,0,0.47301045444847456,1,0.2571428571428572,0,0.41666666666666663,0,57.31,0.02702702702702703
102,1,0.4516748453168339,1,0.34285714285714286,0,0.5833333333333333,1,60.44,0.24324324324324326
103,0,0.21698314486878606,1,0.34285714285714286,0,0.15625000000000006,0,61.31,0.13513513513513514
104,1,0.579688500106678,2,0.48571428571428577,2,0.7291666666666666,1,65.83,0.05405405405405406
105,1,0.25965436313206747,2,0.2571428571428572,0,0.10416666666666669,1,58.23,0.21621621621621623
108,1,0.8357158096863666,1,0.7714285714285716,0,0.625,1,73.52,0.008243243243243256
109,1,0.665030936633241,1,0.37142857142857144,0,0.7083333333333333,0,58.31,0.13513513513513514
111,0,0.4090036270535524,2,0.4571428571428572,2,0.15000000000000008,1,54.8,0.06756756756756757
113,1,0.21698314486878606,1,0.14285714285714285,0,0.16666666666666669,1,53.94,0.06756756756756757
114,0,0.6010241092383188,1,0.31428571428571433,0,0.4614583333333334,0,63.08,0.10810810810810811
115,1,0.366332408790271,2,0.37142857142857144,0,0.07708333333333345,1,55.01,0.06756756756756757
116,0,0.25965436313206747,2,0.28571428571428575,0,0.8125,0,60.5,0.021621621621621637
117,1,0.46874333262214635,1,0.3028571428571427,0,0.9583333333333333,0,70.85,0.13513513513513514
118,1,0.515681672711756,2,0.48571428571428577,2,0.625,0,67.05,0.05405405405405406
119,1,0.6223597183699595,2,0.6285714285714286,2,0.9791666666666666,1,70.48,0.10270270270270271
120,1,0.37486665244292744,1,0.24571428571428558,0,0.4821018835616438,0,64.34,0.30168918918918924
122,0,0.3449967996586303,2,0.38857142857142846,2,0.11812500000000009,1,71.49,0.06756756756756757
123,0,0.3407296778323021,0,0.37999999999999995,0,0.6333333333333334,0,71.0,0.048648648648648665
124,1,0.17431192660550465,1,0.48571428571428577,0,0.20833333333333331,1,56.7,0.05405405405405406
125,1,0.43033923618519315,2,0.238,1,0.29166666666666663,1,61.26,0.06756756756756757
126,0,0.47301045444847456,1,0.48571428571428577,0,0.5208333333333333,0,73.33,0.20270270270270274
127,0,0.21698314486878606,2,0.5571428571428572,2,0.41666666666666663,0,68.2,0.013513513513513514
128,0,0.19564753573714533,2,0.37142857142857144,0,0.11458333333333331,1,58.4,0.06756756756756757
129,1,0.481544698101131,2,0.6205714285714286,2,0.65,1,76.26,0.2702702702702703
130,1,0.8293151269468745,1,0.28571428571428575,0,0.8333333333333333,0,68.55,0.06756756756756757
132,0,0.13164070834222324,2,0.17142857142857143,1,0.625,0,60.78,0.21621621621621623
133,1,0.366332408790271,1,0.2285714285714286,0,0.5083333333333334,1,53.49,0.13513513513513514
134,1,0.28098997226370814,1,0.6000000000000001,0,0.3125,1,60.98,0.06756756756756757
135,0,0.878387027949648,1,0.4571428571428572,0,0.9166666666666665,0,67.13,0.06756756756756757
136,0,0.11030509921058251,2,0.37142857142857144,0,0.11666666666666675,1,65.63,0.008243243243243256
138,1,0.25965436313206747,1,0.4571428571428572,0,0.125,1,60.41,0.033783783783783786
139,0,0.28098997226370814,2,0.48571428571428577,2,0.9583333333333333,0,71.77,0.06756756756756757
140,1,0.4090036270535524,1,0.08571428571428569,0,0.16666666666666669,0,54.43,0.02702702702702703
141,1,0.29805845956902066,1,0.38571428571428573,0,0.125,0,56.94,0.08783783783783786
143,1,0.19564753573714533,2,0.4980000000000002,2,0.20833333333333331,0,61.29,0.08108108108108109
144,1,0.2999786643908684,1,0.4191428571428572,0,0.8125,0,60.39,0.13513513513513514
146,1,0.31640708342223167,2,0.4357142857142857,2,0.4583333333333333,1,63.23,0.2702702702702703
147,1,0.25965436313206747,2,0.28571428571428575,0,0.7291666666666666,1,55.14,0.0445945945945946
148,1,0.4943460635801153,1,0.2571428571428572,0,0.6875,0,62.28,0.13513513513513514
149,0,0.7503733731598038,0,0.0,1,0.14583333333333337,0,64.08,0.05405405405405406
151,1,0.16705781950074675,2,0.05714285714285716,2,0.125,0,61.3,0.30168918918918924
152,1,0.3023255813953489,1,0.5428571428571429,0,0.6875,0,58.87,0.0945945945945946
153,0,0.20631534030296572,2,0.8,2,1.0,0,65.25,0.05405405405405406
154,1,0.17431192660550465,2,0.2571428571428572,2,0.75,0,62.48,0.1891891891891892
155,1,0.25965436313206747,2,0.1142857142857143,0,0.41666666666666663,0,53.2,0.06756756756756757
157,1,0.3962022615745681,2,0.2571428571428572,2,0.625,1,52.72,0.07432432432432433
158,1,0.24898655856624713,1,0.13999999999999999,0,0.9041666666666668,0,55.03,0.13513513513513514
161,1,0.4943460635801153,2,0.2571428571428572,2,0.5208333333333333,1,72.29,0.13513513513513514
163,1,0.7845103477704287,1,0.6071428571428572,0,0.525,0,66.06,0.11486486486486487
164,1,0.3449967996586303,2,0.2285714285714286,2,0.5208333333333333,0,66.46,0.30168918918918924
165,0,0.4623426498826542,1,0.21000000000000005,0,0.06333333333333335,0,65.52,0.06756756756756757
167,1,0.23831875400042676,1,0.1142857142857143,0,0.27083333333333337,1,52.38,0.05405405405405406
172,1,0.6223597183699595,1,0.4571428571428572,0,0.2872916666666666,0,66.04,0.12162162162162163
173,1,0.15297631747386392,1,0.0,0,0.7083333333333333,1,52.64,0.13513513513513514
175,1,0.0,2,0.23628571428571418,2,0.29166666666666663,0,66.23,0.30168918918918924
177,0,0.19564753573714533,1,0.0,0,0.10416666666666669,1,57.9,0.02702702702702703
178,0,0.9850650736078517,1,0.6571428571428573,0,0.8125,0,70.81,0.30168918918918924
179,1,0.11030509921058251,2,0.34285714285714286,2,0.47916666666666663,1,68.07,0.20270270270270274
181,1,0.4410070407510135,1,0.19428571428571423,0,0.14583333333333337,0,56.6,0.08783783783783786
184,1,0.5583528909750374,1,0.37142857142857144,0,0.20833333333333331,1,61.82,0.10270270270270271
186,0,0.4516748453168339,2,0.6285714285714286,1,0.6666666666666666,1,71.43,0.07027027027027027
188,1,0.31299338596116927,2,0.31428571428571433,2,0.9375,0,64.86,0.10810810810810811
192,1,0.21698314486878606,2,0.4571428571428572,0,0.4583333333333333,0,61.01,0.08648648648648649
193,1,0.22551738852144232,1,0.2514285714285714,0,0.9041666666666668,0,57.34,0.0945945945945946
194,0,0.25965436313206747,0,0.0,1,0.625,1,56.63,0.13513513513513514
196,1,0.5370172818433967,1,0.4571428571428572,0,0.7083333333333333,1,58.95,0.10135135135135136
197,1,0.25965436313206747,2,0.6142857142857143,2,0.5833333333333333,0,54.48,0.06756756756756757
198,0,0.046298271815660375,2,1.0,2,0.19416666666666665,1,69.71,0.08108108108108109
200,1,0.3023255813953489,1,0.02857142857142858,0,0.47916666666666663,1,55.8,0.08783783783783786
201,1,0.19564753573714533,1,0.2571428571428572,0,0.7822916666666666,0,52.81,0.13513513513513514
203,1,0.25965436313206747,2,0.28571428571428575,2,0.23500000000000001,1,60.11,0.05405405405405406
204,1,0.22402389588222746,1,0.0248571428571428,0,0.33333333333333337,1,58.3,0.08108108108108109
205,0,0.47301045444847456,1,0.48571428571428577,0,0.625,0,67.69,0.013513513513513514
206,1,0.23831875400042676,1,0.2571428571428572,0,0.25,0,56.81,0.06756756756756757
208,1,0.579688500106678,1,0.14285714285714285,0,0.8033333333333333,0,71.55,0.13513513513513514
210,1,0.4516748453168339,1,0.2571428571428572,0,0.35416666666666663,0,56.49,0.021621621621621637
211,1,0.665030936633241,1,0.617142857142857,0,0.8541666666666666,0,74.49,0.2702702702702703
212,1,0.19564753573714533,2,0.4571428571428572,2,0.5,0,53.62,0.10135135135135136
213,1,0.3449967996586303,1,0.48571428571428577,0,0.1875,0,69.72,0.1283783783783784
214,0,0.3236611905269896,1,0.05714285714285716,0,0.41666666666666663,1,60.23,0.008243243243243256
